Option,Size,Block Size,Time,L1 DCM,L2 DCM,L2 ICM
4,4096,128,21.277,10354735411,116334881,1636871308
4,4096,256,22.489,9360139291,1097379694,1540392920
4,4096,512,22.053,9215364765,1603298209,1514778725
4,6144,128,72.004,34900381136,348253143,5652653064
4,6144,256,76.807,31364306909,3647701278,5640034485
4,6144,512,70.661,30482746024,2399074364,3223880057
4,8192,128,173.731,82598638857,1659542337,14208391835
4,8192,256,194.496,77609336726,16831922050,21923065480
4,8192,512,167.181,72691585335,7026028336,8642701638
4,10240,128,337.181,160911063089,2168893862,27008202892
4,10240,256,358.162,145247501379,17038917524,25127296172
4,10240,512,323.204,141009616896,10405951235,14641879898
