Option,Size,Block Size,Time,L1 DCM,L2 DCM,L2 ICM
6,600,,0.219,3980963,2320517,60603
6,1000,,1.146,20730890,6210694,16829350
6,1400,,2.759,48354336,8173378,13091198
6,1800,,4.396,91335178,26425790,24550066
6,2200,,7.449,152623268,35138271,78180165
6,2600,,10.448,236575694,53713567,87470457
6,3000,,15.168,343368375,74270137,111478015
6,4096,,33.152,849451288,131658746,133432823
6,6144,,98.202,2575043491,279108584,701645714
6,8192,,232.050,6063791673,700089130,583806291
6,10240,,402.904,11575015085,1067976743,1642996162
