Option,Size,Block Size,Time,L1 DCM,L2 DCM,L2 ICM
6,600,,0.183,3962254,2328275,60617
6,1000,,0.704,20765948,4567572,28042722
6,1400,,2.039,49360592,8812998,56035022
6,1800,,3.655,90967302,17491725,72554301
6,2200,,7.195,153447086,26849195,122865014
6,2600,,10.152,233817413,36090978,179049640
6,3000,,15.091,345946444,47375348,231705400
6,4096,,33.710,807932469,142822915,42940930
6,6144,,97.073,2528524985,323453627,302994653
6,8192,,242.366,6033485143,579758743,820405968
6,10240,,412.166,11581703303,951917934,1937073371
